1,0,0,0,0,0
2,0,0,0,0,0
3,1/7,100,1560,0,3000
4,16/7,100,1090,0,3000
5,1/7,100,0,0,0
6,1/7,100,910,0,3000
7,1/7,100,590,0,3000
8,7/7,100,535,0,3000
9,7/7,100,535,0,3000
10,7/7,100,35,0,3000
11,1/7,100,220,0,4000
12,1/7,100,0,0,0
13,10/7,100,1500,0,0
14,10/7,100,1480,0,1000
15,10/7,100,1650,0,0
16,10/7,100,1290,0,0
17,10/7,100,1550,0,0
18,10/7,100,1000,0,0
19,10/7,100,600,0,2000
20,10/7,100,1360,0,2000
21,10/7,100,500,0,2000
22,0,0,0,0,0
23,0,0,0,0,0
24,13/7,200,1260,48,5000
25,13/7,200,1260,48,5000
26,10/7,100,1410,0,0
27,10/7,100,1410,0,0
28,10/7,100,1420,0,3000
29,10/7,100,1420,0,3000
30,1/7,100,840,0,3000
31,1/7,100,540,0,3000
32,1/7,100,1650,0,3000
33,10/7,100,1540,0,2000
34,10/7,100,1490,0,2000
35,0,0,0,0,0
36,0,0,0,0,0
37,10/7,200,2620,35,3000
38,10/7,200,3000,35,0
39,10/7,100,700,0,3000
40,10/7,100,650,0,3000
41,10/7,100,260,0,2000
42,10/7,100,0,0,0
43,10/7,100,100,0,2000
44,10/7,100,380,0,5000
45,10/7,100,380,0,5000
46,17/7,100,530,17,0
47,17/7,100,1065,17,0
48,10/7,200,1940,35,3000
49,10/7,200,1660,35,2000
50,11/7,100,300,11,2000
51,11/7,100,1040,11,2000
52,1/7,100,1640,0,2000
53,1/7,100,1390,0,2000
54,1/7,100,1390,0,2000
55,11/7,100,30,11,3000
56,11/7,100,950,11,6000
57,11/7,100,950,11,6000
58,10/7,100,0,0,0
59,10/7,100,1100,0,8000
60,10/7,100,0,0,0
61,11/7,100,570,11,3000
62,11/7,100,570,11,3000
63,13/7,100,430,13,2000
64,13/7,100,0,5,0
65,13/7,200,580,48,2000
66,1/7,100,430,0,3000
67,1/7,100,0,0,0
68,10/7,100,1310,0,3000
69,10/7,100,1310,0,3000
70,1/7,100,560,0,3000
71,10/7,100,1550,0,0
72,10/7,100,1200,0,2000
73,10/7,100,1370,0,2000
74,10/7,100,1240,0,2000
75,10/7,100,0,0,0
76,10/7,100,890,0,1000
77,10/7,100,890,0,1000
78,0,0,0,0,0
79,10/7,100,840,0,5000
80,10/7,100,1400,0,2000
81,10/7,100,1370,0,2000
82,10/7,100,830,0,5000
83,11/7,100,630,11,2000
84,11/7,100,1420,11,2000
85,10/7,100,1410,0,3000
86,10/7,100,1410,0,3000
87,10/7,100,1190,0,3000
88,10/7,100,1000,0,3000
89,10/7,100,0,0,0
90,10/7,100,0,0,0
91,10/7,100,1200,0,5000
92,1/7,100,530,0,3000
93,9/7,100,240,0,6000
94,10/7,100,1480,0,2000
95,10/7,100,990,0,2000
96,1/7,100,800,0,1000
97,1/7,100,800,0,1000
